emgT,emg,rms,mnf,mdf
122.000000,-0.042363,0.047924,16.550043,7.812500
123.000000,-0.044423,0.047656,16.558012,7.812500
124.000000,-0.041447,0.047415,16.564886,7.812500
125.000000,-0.037251,0.047159,16.570908,7.812500
126.000000,-0.041371,0.046909,16.576267,7.812500
127.000000,-0.040913,0.046641,16.579748,7.812500
128.000000,-0.039616,0.046391,16.582531,7.812500
129.000000,-0.040379,0.046135,16.584564,7.812500
130.000000,-0.039921,0.045875,16.586090,7.812500
131.000000,-0.036183,0.045632,16.587870,7.812500
132.000000,-0.035573,0.045372,16.587648,7.812500
133.000000,-0.034733,0.045145,16.584415,7.812500
134.000000,-0.035115,0.044900,16.582598,7.812500
135.000000,-0.040379,0.044660,16.579847,7.812500
136.000000,-0.037098,0.044403,16.574415,7.812500
137.000000,-0.035039,0.044175,16.566494,7.812500
138.000000,-0.034962,0.043919,16.555025,7.812500
139.000000,-0.032979,0.043676,16.537537,7.812500
140.000000,-0.031147,0.043417,16.516293,7.812500
141.000000,-0.033894,0.043194,16.491604,7.812500
142.000000,-0.034810,0.042941,16.463713,7.812500
143.000000,-0.034733,0.042691,16.438087,7.812500
144.000000,-0.031071,0.042449,16.405859,7.812500
145.000000,-0.029622,0.042229,16.369022,7.812500
146.000000,-0.031758,0.042012,16.329283,7.812500
147.000000,-0.031453,0.041762,16.285856,7.812500
148.000000,-0.032597,0.041532,16.236847,7.812500
149.000000,-0.031910,0.041281,16.187996,7.812500
150.000000,-0.032292,0.041049,16.137985,7.812500
151.000000,-0.029240,0.040824,16.083929,7.812500
152.000000,-0.029316,0.040635,16.023670,7.812500
153.000000,-0.028019,0.040447,15.959317,7.812500
154.000000,-0.028019,0.040207,15.895921,7.812500
155.000000,-0.033055,0.039970,15.831006,7.812500
156.000000,-0.028553,0.039757,15.765983,7.812500
157.000000,-0.030232,0.039585,15.697018,7.812500
158.000000,-0.030461,0.039418,15.626993,7.812500
159.000000,-0.028859,0.039250,15.549919,7.812500
160.000000,-0.027333,0.039067,15.474078,7.812500
161.000000,-0.027943,0.038872,15.395990,7.812500
162.000000,-0.027867,0.038682,15.314819,7.812500
163.000000,-0.026570,0.038469,15.239344,7.812500
164.000000,-0.027638,0.038321,15.157577,7.812500
165.000000,-0.027333,0.038210,15.076676,7.812500
166.000000,-0.028019,0.038049,14.995522,7.812500
167.000000,-0.026341,0.037902,14.914507,7.812500
168.000000,-0.028630,0.037738,14.829828,7.812500
169.000000,-0.026799,0.037547,14.749184,7.812500
170.000000,-0.027256,0.037405,14.666878,7.812500
171.000000,-0.025731,0.037281,14.579598,7.812500
172.000000,-0.026112,0.037155,14.495484,3.906250
173.000000,-0.022679,0.037021,14.415446,3.906250
174.000000,-0.025196,0.036891,14.335309,3.906250
175.000000,-0.027867,0.036740,14.256138,3.906250
176.000000,-0.024510,0.036565,14.182394,3.906250
177.000000,-0.024586,0.036419,14.108864,3.906250
178.000000,-0.024434,0.036303,14.034837,3.906250
179.000000,-0.024739,0.036198,13.960938,3.906250
180.000000,-0.024052,0.036083,13.893793,3.906250
181.000000,-0.024357,0.035941,13.826966,3.906250
182.000000,-0.019245,0.035796,13.766870,3.906250
183.000000,-0.025349,0.035663,13.712227,3.906250
184.000000,-0.023060,0.035526,13.656563,3.906250
185.000000,-0.020619,0.035413,13.603733,3.906250
186.000000,-0.022984,0.035304,13.556890,3.906250
187.000000,-0.021611,0.035187,13.518557,3.906250
188.000000,-0.020542,0.035074,13.488148,3.906250
