icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT,accX_,accY_,accZ_,gyrX_,gyrY_,gyrZ_,magX_,magY_,magZ_,roll,pitch,yaw,roll_,pitch_,yaw_
162780.000000,0.338379,-0.048340,-0.634277,16278.000000,60.543060,-25.817871,-17.944336,16278.000000,35.288239,1.370956,37.105820,16278.000000,0.450058,0.062669,-0.890798,62.760899,-52.733219,-21.846771,0.672497,0.000170,0.740100,10.804632,88.124367,25.926466,10.804632,88.124367,25.926466
162790.000000,0.289062,-0.073242,-0.653808,16279.000000,71.895599,-25.756836,-17.089844,16279.000000,34.988235,2.420959,37.255829,16279.000000,0.468074,0.067839,-0.881081,57.047981,-47.207691,-18.582493,0.673161,0.001515,0.739494,12.720953,87.611755,25.087116,12.720953,87.611755,25.087116
162800.000000,0.259766,-0.082031,-0.605469,16280.000000,76.473236,-35.888672,-17.578125,16280.000000,36.638245,2.720963,36.805817,16280.000000,0.480264,0.065303,-0.874690,58.085712,-51.723499,-16.809958,0.675158,0.005754,0.737651,14.593664,86.995476,24.152956,14.593664,86.995476,24.152956
162810.000000,0.267090,-0.036621,-0.639160,16281.000000,80.684662,-41.809082,-20.568848,16281.000000,36.638245,3.320953,36.355820,16281.000000,0.486573,0.057264,-0.871761,51.984940,-51.631493,-17.518303,0.678619,0.012379,0.734387,16.437611,86.340019,23.171200,16.437611,86.340019,23.171200
162820.000000,0.289551,0.008301,-0.669433,16282.000000,84.774017,-48.156738,-25.085449,16282.000000,35.888245,3.320953,36.355820,16282.000000,0.487845,0.047201,-0.871653,46.089672,-51.760887,-19.559793,0.683071,0.020578,0.730062,18.265224,85.644424,22.141092,18.265224,85.644424,22.141092
162830.000000,0.264160,0.052734,-0.712890,16283.000000,91.487885,-56.396484,-31.433105,16283.000000,35.287750,4.070953,35.605820,16283.000000,0.484814,0.038395,-0.873774,43.031944,-53.493553,-23.105278,0.687542,0.029671,0.725538,20.098526,84.885277,21.044779,20.098526,84.885277,21.044779
162840.000000,0.225586,0.033203,-0.721680,16284.000000,94.905853,-62.500000,-36.621094,16284.000000,35.287750,5.420471,35.756317,16284.000000,0.477432,0.032345,-0.878073,36.918919,-52.833363,-25.152731,0.691474,0.039767,0.721305,21.932959,84.099686,19.905518,21.932959,84.099686,19.905518
162850.000000,0.144043,-0.013184,-0.747558,16285.000000,98.751068,-67.565918,-39.367676,16285.000000,37.987747,5.420471,35.756317,16285.000000,0.464987,0.028042,-0.884873,31.594818,-51.037151,-24.595741,0.695192,0.051053,0.717009,23.749126,83.286232,18.736351,23.749126,83.286232,18.736351
162860.000000,0.066895,-0.093262,-0.750976,16286.000000,102.474213,-71.166992,-39.733887,16286.000000,35.737747,4.820465,34.856308,16286.000000,0.446359,0.022832,-0.894563,26.487242,-47.799618,-21.716242,0.699198,0.062458,0.712195,25.522100,82.445503,17.551878,25.522100,82.445503,17.551878
162870.000000,0.021973,-0.171875,-0.818359,16287.000000,105.525970,-75.012207,-38.269043,16287.000000,35.737747,7.820465,33.356308,16287.000000,0.420660,0.013754,-0.907114,21.071632,-44.890263,-17.248026,0.703279,0.073816,0.707071,27.224150,81.579811,16.349291,27.224150,81.579811,16.349291
