emgT,emg,rms,mnf,mdf
122.000000,-0.024395,0.027565,18.722195,7.812500
123.000000,-0.024929,0.027387,18.735283,7.812500
124.000000,-0.024090,0.027226,18.746176,7.812500
125.000000,-0.023098,0.027066,18.756586,7.812500
126.000000,-0.025921,0.026911,18.767448,7.812500
127.000000,-0.025158,0.026764,18.776628,7.812500
128.000000,-0.024777,0.026628,18.786274,7.812500
129.000000,-0.023404,0.026475,18.792364,7.812500
130.000000,-0.023556,0.026332,18.799379,7.812500
131.000000,-0.021496,0.026159,18.806372,7.812500
132.000000,-0.024472,0.026046,18.812017,7.812500
133.000000,-0.021420,0.025901,18.815990,7.812500
134.000000,-0.022107,0.025752,18.822817,7.812500
135.000000,-0.021572,0.025569,18.828476,7.812500
136.000000,-0.022183,0.025444,18.831738,7.812500
137.000000,-0.021420,0.025296,18.829605,7.812500
138.000000,-0.023022,0.025212,18.824331,7.812500
139.000000,-0.020886,0.025084,18.812044,7.812500
140.000000,-0.021038,0.024949,18.801739,7.812500
141.000000,-0.022335,0.024821,18.783682,7.812500
142.000000,-0.020962,0.024699,18.763346,7.812500
143.000000,-0.020733,0.024581,18.738611,7.812500
144.000000,-0.020352,0.024467,18.713001,7.812500
145.000000,-0.017300,0.024370,18.679703,7.812500
146.000000,-0.019055,0.024221,18.650122,7.812500
147.000000,-0.020657,0.024111,18.611998,7.812500
148.000000,-0.018673,0.023995,18.572405,7.812500
149.000000,-0.022793,0.023904,18.533979,7.812500
150.000000,-0.020962,0.023816,18.489523,7.812500
151.000000,-0.019436,0.023744,18.439995,7.812500
152.000000,-0.018139,0.023628,18.389614,7.812500
153.000000,-0.017147,0.023542,18.330490,7.812500
154.000000,-0.017605,0.023422,18.271942,7.812500
155.000000,-0.019589,0.023322,18.216940,7.812500
156.000000,-0.019360,0.023253,18.155022,7.812500
157.000000,-0.017987,0.023148,18.101667,7.812500
158.000000,-0.019055,0.023042,18.041271,7.812500
159.000000,-0.016384,0.022940,17.975033,7.812500
160.000000,-0.018368,0.022877,17.905842,7.812500
161.000000,-0.018902,0.022776,17.833364,7.812500
162.000000,-0.019131,0.022710,17.758312,7.812500
163.000000,-0.017758,0.022597,17.689646,7.812500
164.000000,-0.017300,0.022519,17.620993,7.812500
165.000000,-0.015240,0.022436,17.546721,7.812500
166.000000,-0.017758,0.022369,17.476181,7.812500
167.000000,-0.020123,0.022304,17.394890,7.812500
168.000000,-0.016308,0.022200,17.324230,7.812500
169.000000,-0.018673,0.022120,17.254551,7.812500
170.000000,-0.017605,0.022045,17.184393,7.812500
171.000000,-0.017987,0.021971,17.105436,7.812500
172.000000,-0.015240,0.021884,17.033348,7.812500
173.000000,-0.014172,0.021797,16.952570,7.812500
174.000000,-0.017224,0.021762,16.889753,7.812500
175.000000,-0.019512,0.021712,16.831831,7.812500
176.000000,-0.019665,0.021695,16.761036,7.812500
177.000000,-0.016384,0.021619,16.699471,7.812500
178.000000,-0.014248,0.021523,16.639509,7.812500
179.000000,-0.013104,0.021442,16.584309,3.906250
180.000000,-0.015316,0.021387,16.523834,3.906250
181.000000,-0.017071,0.021356,16.471050,3.906250
182.000000,-0.015927,0.021318,16.418818,3.906250
183.000000,-0.015469,0.021265,16.383503,3.906250
184.000000,-0.013409,0.021188,16.354553,3.906250
185.000000,-0.012264,0.021131,16.316133,3.906250
186.000000,-0.015850,0.021078,16.278709,3.906250
187.000000,-0.015698,0.021040,16.248814,3.906250
188.000000,-0.014553,0.021009,16.223761,3.906250
189.000000,-0.013638,0.020967,16.219019,3.906250
190.000000,-0.011807,0.020897,16.206600,3.906250
191.000000,-0.011654,0.020853,16.199066,3.906250
192.000000,-0.014248,0.020806,16.198151,3.906250
193.000000,-0.012341,0.020771,16.192873,3.906250
194.000000,-0.014401,0.020728,16.203703,3.906250
195.000000,-0.014248,0.020669,16.225847,3.906250
196.000000,-0.010433,0.020627,16.256538,3.906250
197.000000,-0.012722,0.020611,16.279221,3.906250
198.000000,-0.013638,0.020586,16.310152,3.906250
199.000000,-0.013104,0.020539,16.337255,3.906250
200.000000,-0.016575,0.020388,16.388788,3.906250
201.000000,-0.020237,0.020326,16.442455,3.906250
202.000000,-0.017643,0.020218,16.507362,3.906250
203.000000,-0.018330,0.020114,16.571802,3.906250
204.000000,-0.017643,0.020004,16.627481,3.906250
205.000000,-0.015507,0.019914,16.696136,3.906250
206.000000,-0.019398,0.019818,16.775780,3.906250
207.000000,-0.018482,0.019724,16.856953,3.906250
208.000000,-0.018788,0.019629,16.954002,3.906250
209.000000,-0.019245,0.019531,17.065983,3.906250
210.000000,-0.018711,0.019469,17.181114,3.906250
211.000000,-0.017185,0.019399,17.290236,3.906250
212.000000,-0.017262,0.019314,17.407274,3.906250
213.000000,-0.015126,0.019209,17.510904,3.906250
214.000000,-0.015812,0.019102,17.623747,3.906250
215.000000,-0.020390,0.019011,17.739996,3.906250
216.000000,-0.017872,0.018948,17.859133,3.906250
217.000000,-0.017872,0.018873,17.981056,3.906250
218.000000,-0.020237,0.018795,18.100107,3.906250
219.000000,-0.016423,0.018704,18.211029,3.906250
220.000000,-0.017109,0.018600,18.317545,3.906250
221.000000,-0.018635,0.018558,18.423962,7.812500
