channel,mean,std
accX_,0.09482834,0.24072402
accX_1,0.00001570,0.00563384
accX_2,-0.00000067,0.00180584
accY_,-0.87871986,0.21693450
accY_1,-0.00001004,0.00737437
accY_2,0.00000085,0.00708453
accZ_,-0.15737024,0.29832883
accZ_1,0.00001790,0.00540890
accZ_2,-0.00000016,0.00111726
gyrX_,0.01053278,15.96341981
gyrX_1,0.00184186,2.98709288
gyrX_2,-0.00139962,3.00153812
gyrY_,0.02517521,15.33151657
gyrY_1,-0.00721412,4.66125589
gyrY_2,0.00151931,3.71221833
gyrZ_,0.01071900,7.61997348
gyrZ_1,-0.00436034,2.10474211
gyrZ_2,-0.00084194,1.91164021
magX_,0.60321498,0.22338302
magX_1,-0.00001608,0.00320361
magX_2,0.00000103,0.00198255
magY_,0.38806379,0.25529246
magY_1,-0.00000951,0.00376759
magY_2,-0.00000029,0.00098580
magZ_,-0.48209808,0.37152179
magZ_1,-0.00001226,0.00537887
magZ_2,-0.00000102,0.00379414
roll_s,0.13569167,0.27924948
roll_c,0.94466628,0.10573156
roll_1,-0.00066280,0.32668127
roll_2,0.00021485,0.04340853
pitch_s,0.20196877,0.33083835
pitch_c,0.89976099,0.20037667
pitch_1,0.00077395,0.38287051
pitch_2,-0.00003416,0.03930717
yaw_s,0.62324287,0.33337909
yaw_c,0.64543021,0.28950403
yaw_1,0.00264954,0.33661146
yaw_2,-0.00008396,0.06436787
