icmT,accT,accX,accY,accZ,gyrT,gyrX,gyrY,gyrZ,magT,magX,magY,magZ,roll,pitch,yaw,accX_,accX_1,accX_2,accY_,accY_1,accY_2,accZ_,accZ_1,accZ_2,gyrX_,gyrX_1,gyrX_2,gyrY_,gyrY_1,gyrY_2,gyrZ_,gyrZ_1,gyrZ_2,magX_,magX_1,magX_2,magY_,magY_1,magY_2,magZ_,magZ_1,magZ_2,roll_,roll_s,roll_c,roll_1,roll_2,pitch_,pitch_s,pitch_c,pitch_1,pitch_2,yaw_,yaw_s,yaw_c,yaw_1,yaw_2
53500.000000,53500.000000,0.245117,-1.023437,-0.301758,53500.000000,-55.288315,53.123474,-42.819977,53500.000000,14.424377,18.833069,-22.787018,9.669181,11.126019,73.746849,0.176649,0.013798,0.000042,-0.965926,0.004272,0.000430,-0.189164,-0.009732,-0.000639,-26.447308,0.955818,1.491936,32.476063,1.545904,-3.525600,-21.563108,-3.766935,-2.639242,0.393396,-0.000662,0.001454,0.562004,0.006687,-0.000140,-0.727593,0.004761,0.000768,9.669181,0.167959,0.985794,0.442374,0.069054,11.126019,0.192968,0.981205,0.551952,0.023610,73.746849,0.960034,0.279882,0.430389,0.046036
53510.000000,53510.000000,0.219727,-1.039062,-0.290527,53510.000000,-56.631088,49.400330,-46.176910,53510.000000,12.324371,21.983063,-22.187012,10.150515,11.692435,74.135559,0.188821,0.012173,-0.001625,-0.961616,0.004309,0.000037,-0.199100,-0.009935,-0.000203,-24.597078,1.850229,0.894411,25.477453,-6.998610,-8.544514,-22.301058,-0.737949,3.028986,0.394342,0.000946,0.001608,0.569123,0.007120,0.000433,-0.721521,0.006072,0.001311,10.150515,0.176235,0.984348,0.481334,0.038960,11.692435,0.202658,0.979250,0.566417,0.014464,74.135559,0.961911,0.273362,0.388710,-0.041679
53520.000000,53520.000000,0.213867,-1.029297,-0.297363,53520.000000,-56.264877,39.573669,-49.106598,53520.000000,13.674377,20.183060,-23.987015,10.663046,12.256049,74.424538,0.198564,0.009742,-0.002431,-0.957578,0.004038,-0.000271,-0.208845,-0.009745,0.000190,-21.176498,3.420580,1.570351,13.139347,-12.338106,-5.339497,-22.483313,-0.182255,0.555695,0.394908,0.000566,-0.000380,0.577772,0.008649,0.001529,-0.714302,0.007219,0.001148,10.663046,0.185033,0.982732,0.512531,0.031198,12.256049,0.212281,0.977209,0.563614,-0.002803,74.424538,0.963278,0.268507,0.288979,-0.099731
53530.000000,53530.000000,0.215332,-1.018554,-0.277344,53530.000000,-55.471420,34.324646,-50.571442,53530.000000,13.674377,21.233063,-21.887024,11.189019,12.812051,74.661255,0.205935,0.007372,-0.002370,-0.953962,0.003616,-0.000422,-0.218051,-0.009206,0.000539,-17.558050,3.618448,0.197868,6.179334,-6.960013,5.378093,-21.163927,1.319386,1.501640,0.395225,0.000316,-0.000249,0.586589,0.008817,0.000168,-0.706902,0.007399,0.000180,11.189019,0.194046,0.980992,0.525973,0.013442,12.812051,0.221754,0.975103,0.556002,-0.007612,74.661255,0.964379,0.264525,0.236717,-0.052261
53540.000000,53540.000000,0.290039,-1.029785,-0.268555,53540.000000,-57.851791,29.991150,-51.486969,53540.000000,14.274368,21.233063,-21.887024,11.721005,13.390513,74.854286,0.211816,0.005881,-0.001490,-0.950751,0.003211,-0.000405,-0.226287,-0.008236,0.000971,-17.216814,0.341236,-3.277212,0.663482,-5.515852,1.444160,-19.351303,1.812624,0.493238,0.396686,0.001461,0.001144,0.595197,0.008608,-0.000209,-0.698842,0.008060,0.000660,11.721005,0.203146,0.979148,0.531986,0.006013,13.390513,0.231587,0.972814,0.578463,0.022461,74.854286,0.965264,0.261275,0.193031,-0.043686
53550.000000,53550.000000,0.355957,-1.063476,-0.286133,53550.000000,-58.462143,24.375916,-53.989410,53550.000000,13.674377,21.083069,-22.337021,12.274546,13.972166,74.990791,0.217807,0.005990,0.000109,-0.947711,0.003041,-0.000171,-0.233249,-0.006962,0.001274,-15.146431,2.070383,1.729147,-5.611935,-6.275417,-0.759564,-19.137623,0.213680,-1.598944,0.399189,0.002503,0.001042,0.603610,0.008413,-0.000195,-0.690147,0.008695,0.000636,12.274546,0.212596,0.977140,0.553540,0.021554,13.972166,0.241451,0.970413,0.581653,0.003190,74.990791,0.965884,0.258974,0.136505,-0.056526
53560.000000,53560.000000,0.403809,-1.064453,-0.311035,53560.000000,-60.415268,24.497986,-57.346344,53560.000000,13.674377,21.683060,-22.937012,12.859348,14.568954,75.128708,0.225271,0.007464,0.001474,-0.944493,0.003218,0.000177,-0.239136,-0.005887,0.001075,-14.479268,0.667163,-1.403220,-5.844604,-0.232668,6.042748,-19.687153,-0.549530,-0.763210,0.401543,0.002354,-0.000149,0.611012,0.007402,-0.001011,-0.682223,0.007925,-0.000771,12.859348,0.222558,0.974919,0.584803,0.031262,14.568954,0.251545,0.967846,0.596788,0.015136,75.128708,0.966505,0.256649,0.137917,0.001411
53570.000000,53570.000000,0.389160,-1.092773,-0.293457,53570.000000,-64.870834,27.915955,-62.961578,53570.000000,13.824371,21.683060,-22.937012,13.499006,15.204238,75.302208,0.234454,0.009182,0.001718,-0.940965,0.003528,0.000310,-0.244163,-0.005028,0.000859,-16.207809,-1.728541,-2.395704,-2.882735,2.961869,3.194537,-22.275728,-2.588575,-2.039045,0.402956,0.001413,-0.000941,0.617200,0.006188,-0.001214,-0.675789,0.006434,-0.001491,13.499006,0.233428,0.972374,0.639658,0.054855,15.204238,0.262261,0.964997,0.635283,0.038495,75.302208,0.967278,0.253721,0.173500,0.035583
53580.000000,53580.000000,0.367187,-1.093261,-0.272461,53580.000000,-66.884995,37.010193,-67.111969,53580.000000,13.219498,24.083069,-21.587021,14.179081,15.852057,75.568359,0.244484,0.010031,0.000848,-0.937390,0.003575,0.000047,-0.248046,-0.003882,0.001146,-15.392826,0.814983,2.543525,5.267794,8.150528,5.188659,-23.158852,-0.883123,1.705452,0.403176,0.000221,-0.001192,0.623432,0.006231,0.000043,-0.669912,0.005877,-0.000557,14.179081,0.244953,0.969535,0.680075,0.040417,15.852057,0.273154,0.961970,0.647819,0.012535,75.568359,0.968446,0.249225,0.266151,0.092651
53590.000000,53590.000000,0.312012,-1.069824,-0.275879,53590.000000,-64.626694,45.555115,-69.614410,53590.000000,13.219498,23.777695,-21.581650,14.881994,16.468676,75.922691,0.254047,0.009563,-0.000468,-0.934166,0.003224,-0.000350,-0.250588,-0.002542,0.001340,-10.502177,4.890649,4.075665,12.179979,6.912186,-1.238342,-22.303041,0.855810,1.738934,0.401844,-0.001333,-0.001553,0.631591,0.008160,0.001929,-0.663034,0.006878,0.001001,14.881994,0.256829,0.966457,0.702913,0.022839,16.468676,0.283491,0.958975,0.616619,-0.031199,75.922691,0.969968,0.243231,0.354332,0.088181
53600.000000,53600.000000,0.179687,-1.023437,-0.283203,53600.000000,-65.237045,45.249939,-70.163727,53600.000000,12.769485,23.777695,-21.581650,15.585364,17.081625,76.279198,0.261366,0.007319,-0.002244,-0.931693,0.002473,-0.000752,-0.252262,-0.001675,0.000867,-8.731656,1.770521,-3.120128,9.992937,-2.187042,-9.099228,-19.567469,2.735573,1.879763,0.399030,-0.002814,-0.001482,0.641354,0.009762,0.001602,-0.655317,0.007716,0.000838,15.585364,0.268674,0.963231,0.703370,0.000457,17.081625,0.293734,0.955887,0.612949,-0.003670,76.279198,0.971463,0.237191,0.356506,0.002174
53610.000000,53610.000000,0.191894,-0.977051,-0.327637,53610.000000,-65.298080,31.517029,-67.173004,53610.000000,12.769485,23.327698,-19.181641,16.250036,17.685444,76.507179,0.265038,0.003672,-0.003646,-0.930167,0.001526,-0.000947,-0.254056,-0.001794,-0.000119,-6.553232,2.178424,0.407903,-4.890124,-14.883061,-12.696019,-13.604345,5.963123,3.227551,0.395508,-0.003521,-0.000707,0.651737,0.010383,0.000621,-0.647157,0.008161,0.000444,16.250036,0.279830,0.960050,0.664672,-0.038698,17.685444,0.303791,0.952739,0.603819,-0.009130,76.507179,0.972399,0.233324,0.227982,-0.128525
53620.000000,53620.000000,0.253418,-0.994629,-0.355957,53620.000000,-65.237045,24.070740,-66.318512,53620.000000,12.919495,23.327698,-19.181641,16.894119,18.280191,76.670280,0.265706,0.000668,-0.003005,-0.929187,0.000980,-0.000546,-0.256929,-0.002873,-0.001080,-4.418499,2.134734,-0.043690,-12.475862,-7.585737,7.297324,-10.140221,3.464125,-2.498999,0.392482,-0.003026,0.000496,0.662590,0.010853,0.000469,-0.637913,0.009244,0.001084,16.894119,0.290604,0.956843,0.644083,-0.020589,18.280191,0.313664,0.949534,0.594748,-0.009071,76.670280,0.973059,0.230554,0.163101,-0.064880
53630.000000,53630.000000,0.367187,-1.016601,-0.374512,53630.000000,-68.899155,16.075134,-65.830231,53630.000000,12.319489,25.727692,-19.331650,17.520786,18.904179,76.764046,0.265594,-0.000112,-0.000780,-0.928030,0.001157,0.000176,-0.261189,-0.004260,-0.001387,-6.009921,-1.591423,-3.726156,-19.894930,-7.419068,0.166669,-7.282609,2.857611,-0.606514,0.389840,-0.002643,0.000383,0.674124,0.011534,0.000682,-0.627361,0.010551,0.001307,17.520786,0.301052,0.953608,0.626667,-0.017416,18.904179,0.323986,0.946062,0.623987,0.029240,76.764046,0.973435,0.228962,0.093765,-0.069336
53640.000000,53640.000000,0.411133,-1.041015,-0.341797,53640.000000,-70.730209,18.577576,-66.013336,53640.000000,12.319489,25.727692,-19.031647,18.138767,19.540052,76.894432,0.266870,0.001277,0.001389,-0.926213,0.001817,0.000661,-0.266289,-0.005099,-0.000839,-5.691841,0.318080,1.909503,-16.566185,3.328745,10.747813,-5.282655,1.999955,-0.857656,0.386323,-0.003516,-0.000874,0.686830,0.012707,0.001172,-0.615645,0.011717,0.001165,18.138767,0.311320,0.950305,0.617981,-0.008686,19.540052,0.334466,0.942408,0.635874,0.011887,76.894432,0.973954,0.226746,0.130386,0.036621
53650.000000,53650.000000,0.425293,-1.027832,-0.344238,53650.000000,-72.622299,29.075623,-66.501617,53650.000000,11.569489,25.727692,-19.031647,18.754133,20.188391,77.141373,0.270477,0.003607,0.002331,-0.923689,0.002523,0.000706,-0.271367,-0.005078,0.000021,-5.437680,0.254161,-0.063919,-5.809720,10.756465,7.427720,-3.724697,1.557958,-0.441997,0.381477,-0.004847,-0.001330,0.700227,0.013397,0.000690,-0.603455,0.012190,0.000473,18.754133,0.321508,0.946907,0.615366,-0.002615,20.188391,0.345108,0.938563,0.648338,0.012465,77.141373,0.974922,0.222546,0.246941,0.116554
53660.000000,53660.000000,0.370117,-1.013183,-0.356934,53660.000000,-74.392319,38.291931,-68.332672,53660.000000,11.869492,26.927689,-17.981644,19.382336,20.847622,77.492081,0.275883,0.005405,0.001798,-0.920662,0.003028,0.000504,-0.276172,-0.004805,0.000273,-5.067816,0.369864,0.115704,2.828100,8.637820,-2.118645,-3.569549,0.155148,-1.402810,0.375505,-0.005971,-0.001125,0.713753,0.013526,0.000130,-0.591230,0.012225,0.000036,19.382336,0.331870,0.943325,0.628202,0.012836,20.847622,0.355884,0.934530,0.659231,0.010893,77.492081,0.976266,0.216575,0.350708,0.103767
53670.000000,53670.000000,0.299805,-0.993164,-0.369629,53670.000000,-76.467514,49.888611,-71.445465,53670.000000,12.019485,24.977692,-19.331650,20.035995,21.520691,77.968582,0.281500,0.005617,0.000212,-0.917476,0.003185,0.000157,-0.281061,-0.004889,-0.000084,-5.002163,0.065653,-0.304212,12.997738,10.169638,1.531817,-4.640142,-1.070593,-1.225741,0.369285,-0.006221,-0.000249,0.726494,0.012741,-0.000785,-0.579513,0.011717,-0.000508,20.035995,0.342610,0.939478,0.653660,0.025457,21.520691,0.366837,0.930285,0.673069,0.013838,77.968582,0.978033,0.208448,0.476501,0.125793
53680.000000,53680.000000,0.267578,-0.987304,-0.335937,53680.000000,-74.270248,55.320740,-70.835114,53680.000000,12.019485,27.077698,-17.831650,20.676479,22.165564,78.506561,0.285757,0.004257,-0.001361,-0.914591,0.002885,-0.000300,-0.286123,-0.005062,-0.000173,-0.836396,4.165767,4.100114,16.356936,3.359198,-6.810440,-2.040826,2.599316,3.669909,0.363775,-0.005510,0.000711,0.737361,0.010867,-0.001874,-0.569180,0.010333,-0.001384,20.676479,0.353091,0.935589,0.640484,-0.013176,22.165564,0.377284,0.926098,0.644873,-0.028196,78.506561,0.979948,0.199256,0.537979,0.061478
53690.000000,53690.000000,0.273437,-0.956054,-0.325684,53690.000000,-74.148178,55.381775,-67.661285,53690.000000,10.519485,27.077698,-17.831650,21.276640,22.802671,79.051476,0.288183,0.002426,-0.001831,-0.912304,0.002287,-0.000598,-0.290950,-0.004827,0.000235,0.993326,1.829722,-2.336044,14.231029,-2.125907,-5.485105,2.797273,4.838099,2.238783,0.358318,-0.005457,0.000053,0.747362,0.010001,-0.000866,-0.559516,0.009664,-0.000668,21.276640,0.362871,0.931839,0.600161,-0.040323,22.802671,0.387559,0.921845,0.637108,-0.007765,79.051476,0.981798,0.189927,0.544914,0.006935
53700.000000,53700.000000,0.377441,-0.919433,-0.375000,53700.000000,-77.932358,50.132751,-66.440582,53700.000000,10.520462,26.927689,-16.931641,21.855492,23.470144,79.552452,0.289865,0.001682,-0.000744,-0.910280,0.002025,-0.000262,-0.295583,-0.004633,0.000194,-1.072773,-2.066099,-3.895821,7.152799,-7.078230,-4.952323,5.345199,2.547925,-2.290174,0.351751,-0.006567,-0.001110,0.757528,0.010166,0.000165,-0.549930,0.009586,-0.000078,21.855492,0.372267,0.928126,0.578852,-0.021309,23.470144,0.398271,0.917268,0.667473,0.030365,79.552452,0.983421,0.181335,0.500977,-0.043938
53710.000000,53710.000000,0.505859,-0.873047,-0.421875,53710.000000,-80.984116,40.306091,-66.989899,53710.000000,10.520462,26.479156,-15.432129,22.433132,24.161268,79.966232,0.293311,0.003446,0.001764,-0.907435,0.002844,0.000820,-0.300881,-0.005298,-0.000665,-2.258556,-1.185784,0.880315,-3.729347,-10.882145,-3.803915,5.963190,0.617991,-1.929934,0.344674,-0.007078,-0.000511,0.767790,0.010263,0.000097,-0.540090,0.009839,0.000253,22.433132,0.381605,0.924326,0.577641,-0.001211,24.161268,0.409306,0.912397,0.691124,0.023651,79.966232,0.984705,0.174229,0.413780,-0.087196
53720.000000,53720.000000,0.556641,-0.850097,-0.435059,53720.000000,-83.669662,45.738220,-69.065094,53720.000000,10.820465,26.479156,-15.432129,23.029930,24.874294,80.443138,0.300839,0.007528,0.004081,-0.902718,0.004717,0.001873,-0.307564,-0.006683,-0.001385,-2.984688,-0.726132,0.459651,0.923537,4.652884,15.535028,5.046535,-0.916656,-1.534647,0.338514,-0.006159,0.000918,0.777936,0.010146,-0.000117,-0.529361,0.010730,0.000890,23.029930,0.391212,0.920301,0.596798,0.019157,24.874294,0.420629,0.907233,0.713026,0.021902,80.443138,0.986121,0.166026,0.476906,0.063126
53730.000000,53730.000000,0.514160,-0.915039,-0.458984,53730.000000,-84.524155,54.588318,-74.558258,53730.000000,11.120468,28.729156,-13.632141,23.684521,25.593277,81.014580,0.312460,0.011621,0.004094,-0.895960,0.006758,0.002041,-0.315633,-0.008069,-0.001385,-1.886320,1.098368,1.824500,8.446757,7.523221,2.870337,0.919313,-4.127222,-3.210567,0.333913,-0.004602,0.001558,0.788278,0.010342,0.000196,-0.516836,0.012525,0.001795,23.684521,0.401700,0.915771,0.654591,0.057793,25.593277,0.431980,0.901883,0.718983,0.005957,81.014580,0.987728,0.156183,0.571442,0.094536
53740.000000,53740.000000,0.458496,-0.953125,-0.461426,53740.000000,-82.265854,61.302185,-78.037262,53740.000000,11.120468,29.779160,-15.432129,24.378727,26.289284,81.658035,0.325924,0.013464,0.001842,-0.887910,0.008050,0.001291,-0.324636,-0.009004,-0.000935,2.103309,3.989629,2.891261,13.255008,4.808250,-2.714971,-0.933838,-1.853151,2.274071,0.330421,-0.003492,0.001110,0.799383,0.011105,0.000763,-0.501806,0.015031,0.002506,24.378727,0.412766,0.910837,0.694206,0.039616,26.289284,0.442904,0.896569,0.696007,-0.022976,81.658035,0.989420,0.145081,0.643456,0.072014
53750.000000,53750.000000,0.373535,-1.008301,-0.419922,53750.000000,-85.073471,59.532166,-81.272125,53750.000000,10.370468,29.779160,-15.432129,25.108377,27.012640,82.290024,0.338407,0.012483,-0.000980,-0.879839,0.008071,0.000022,-0.333712,-0.009075,-0.000072,0.900006,-1.203303,-5.192932,9.489148,-3.765860,-8.574110,-2.392367,-1.458529,0.394622,0.326781,-0.003640,-0.000148,0.810478,0.011095,-0.000010,-0.486148,0.015658,0.000627,25.108377,0.424332,0.905507,0.729650,0.035444,27.012640,0.454187,0.890906,0.723356,0.027349,82.290024,0.990960,0.134159,0.631989,-0.011467
53760.000000,53760.000000,0.394531,-1.023926,-0.354004,53760.000000,-89.101791,55.564880,-80.112457,53760.000000,10.970474,29.329163,-14.532135,25.826174,27.772768,82.889053,0.348185,0.009778,-0.002705,-0.873039,0.006800,-0.001271,-0.341423,-0.007711,0.001364,-1.372043,-2.272049,-1.068746,3.905841,-5.583307,-1.817447,0.485714,2.878081,4.336610,0.322678,-0.004103,-0.000463,0.820547,0.010069,-0.001026,-0.471785,0.014363,-0.001295,25.826174,0.435642,0.900120,0.717796,-0.011854,27.772768,0.465966,0.884803,0.760128,0.036772,82.889053,0.992308,0.123791,0.599030,-0.032959
53770.000000,53770.000000,0.471191,-0.977539,-0.336426,53770.000000,-90.444565,45.555115,-76.694489,53770.000000,10.970474,30.079163,-13.182129,26.507145,28.538988,83.394852,0.355859,0.007674,-0.002105,-0.867913,0.005126,-0.001674,-0.346543,-0.005120,0.002592,-0.876888,0.495156,2.767205,-6.997403,-10.903244,-5.319937,5.277415,4.791701,1.913620,0.319170,-0.003508,0.000594,0.829668,0.009121,-0.000948,-0.458019,0.013766,-0.000597,26.507145,0.446309,0.894879,0.680971,-0.036825,28.538988,0.477757,0.878492,0.766220,0.006092,83.394852,0.993362,0.115026,0.505798,-0.093231
53780.000000,53780.000000,0.515625,-0.907715,-0.389648,53780.000000,-91.543198,37.742615,-77.243805,53780.000000,8.270462,30.079163,-13.182129,27.190382,29.305807,83.831474,0.363392,0.007533,-0.000141,-0.863653,0.004260,-0.000866,-0.349356,-0.002813,0.002306,-0.186987,0.689900,0.194744,-14.845387,-7.847984,3.055260,5.846884,0.569469,-4.222232,0.315342,-0.003827,-0.000319,0.838695,0.009027,-0.000094,-0.444017,0.014003,0.000237,27.190382,0.456949,0.889493,0.683237,0.002266,29.305807,0.489471,0.872020,0.766819,0.000599,83.831474,0.994210,0.107453,0.436623,-0.069176
53790.000000,53790.000000,0.527344,-0.857910,-0.501953,53790.000000,-88.796616,27.732849,-79.257965,53790.000000,9.021439,29.779160,-11.982132,27.891634,30.035467,84.182739,0.371994,0.008601,0.001068,-0.858944,0.004708,0.000449,-0.351902,-0.002546,0.000267,4.123075,4.310063,3.620162,-24.071785,-9.226398,-1.378415,4.944654,-0.902230,-1.471699,0.309259,-0.006083,-0.002256,0.848202,0.009508,0.000481,-0.430014,0.014003,0.000000,27.891634,0.467801,0.883834,0.701252,0.018015,30.035467,0.500536,0.865716,0.729660,-0.037159,84.182739,0.994850,0.101356,0.351265,-0.085358
53800.000000,53800.000000,0.601562,-0.841797,-0.476562,53800.000000,-92.275620,23.216248,-80.905914,53800.000000,9.021439,30.232086,-10.932617,28.609449,30.792175,84.506485,0.382160,0.010166,0.001564,-0.852789,0.006155,0.001447,-0.355956,-0.004054,-0.001508,2.096057,-2.027019,-6.337081,-27.168304,-3.096519,6.129879,4.450747,-0.493907,0.408323,0.301815,-0.007444,-0.001361,0.858063,0.009861,0.000353,-0.415495,0.014519,0.000516,28.609449,0.478837,0.877904,0.717815,0.016563,30.792175,0.511926,0.859030,0.756708,0.027048,84.506485,0.995407,0.095733,0.323746,-0.027519
53810.000000,53810.000000,0.735351,-0.815430,-0.502930,53810.000000,-93.374252,22.117615,-85.361481,53810.000000,7.821442,30.232086,-10.932617,29.375196,31.554827,84.838623,0.395069,0.012910,0.002744,-0.844546,0.008244,0.002088,-0.361473,-0.005517,-0.001463,2.510391,0.414334,2.441353,-26.629448,0.538857,3.635376,1.296409,-3.154338,-2.660431,0.293921,-0.007895,-0.000451,0.868123,0.010060,0.000200,-0.399966,0.015529,0.001010,29.375196,0.490527,0.871426,0.765747,0.047932,31.554827,0.523314,0.852140,0.762651,0.005943,84.838623,0.995945,0.089961,0.332138,0.008392
