icmT,accT,accX,accY,accZ,gyrT,gyrX,gyrY,gyrZ,magT,magX,magY,magZ,roll,pitch,yaw,accX_,accX_1,accX_2,accY_,accY_1,accY_2,accZ_,accZ_1,accZ_2,gyrX_,gyrX_1,gyrX_2,gyrY_,gyrY_1,gyrY_2,gyrZ_,gyrZ_1,gyrZ_2,magX_,magX_1,magX_2,magY_,magY_1,magY_2,magZ_,magZ_1,magZ_2,roll_,roll_s,roll_c,roll_1,roll_2,pitch_,pitch_s,pitch_c,pitch_1,pitch_2,yaw_,yaw_s,yaw_c,yaw_1,yaw_2
75780.000000,75780.000000,0.049805,-1.065918,-0.083496,75780.000000,-5.483627,0.205994,2.830505,75780.000000,7.877106,16.461975,-28.274033,2.491087,3.057057,76.007751,0.038846,-0.000691,0.000437,-0.996992,-0.000010,0.000035,-0.067068,-0.000256,-0.000251,-1.401265,-0.573824,-0.836572,2.739658,0.364948,1.160655,-0.421111,0.143448,-0.521462,0.271147,-0.001939,-0.002138,0.500563,0.004500,-0.002053,-0.822141,0.002083,-0.001891,2.491087,0.043464,0.999055,-0.033607,-0.001345,3.057057,0.053330,0.998577,0.070988,0.004343,76.007751,0.970328,0.241791,-0.049072,0.008896
75790.000000,75790.000000,0.058105,-1.054687,-0.092773,75790.000000,-5.361557,0.633240,2.281189,75790.000000,9.077103,16.461975,-28.274033,2.463251,3.126118,75.968185,0.038597,-0.000249,0.000442,-0.996961,0.000031,0.000041,-0.067668,-0.000600,-0.000344,-1.278795,0.122470,0.696294,2.891724,0.152066,-0.212881,-0.930479,-0.509368,-0.652816,0.267660,-0.003487,-0.001549,0.502410,0.001847,-0.002653,-0.822157,-0.000016,-0.002100,2.463251,0.042979,0.999076,-0.027836,0.005771,3.126118,0.054534,0.998512,0.069061,-0.001927,75.968185,0.970161,0.242461,-0.039566,0.009506
75800.000000,75800.000000,0.047852,-1.043457,-0.100098,75800.000000,-5.178452,1.609802,1.914978,75800.000000,7.727112,16.311966,-27.824036,2.439773,3.193233,75.943779,0.038778,0.000181,0.000431,-0.996881,0.000080,0.000049,-0.068737,-0.001069,-0.000469,-1.103523,0.175272,0.052802,3.545379,0.653655,0.501589,-1.217874,-0.287395,0.221973,0.264051,-0.003609,-0.000122,0.502420,0.000010,-0.001837,-0.823318,-0.001160,-0.001144,2.439773,0.042569,0.999094,-0.023479,0.004357,3.193233,0.055704,0.998447,0.067115,-0.001946,75.943779,0.970058,0.242874,-0.024406,0.015160
75810.000000,75810.000000,0.036133,-1.036133,-0.094238,75810.000000,-5.544662,1.853943,2.159119,75810.000000,7.727112,16.311966,-27.074036,2.414767,3.264378,75.927666,0.039118,0.000340,0.000158,-0.996760,0.000121,0.000041,-0.070287,-0.001550,-0.000480,-1.464428,-0.360905,-0.536177,3.429467,-0.115912,-0.769567,-0.892403,0.325470,0.612865,0.260053,-0.003998,-0.000388,0.501638,-0.000782,-0.000792,-0.825065,-0.001747,-0.000587,2.414767,0.042133,0.999112,-0.025006,-0.001527,3.264378,0.056943,0.998377,0.071144,0.004029,75.927666,0.969990,0.243147,-0.016113,0.008293
75820.000000,75820.000000,0.041992,-1.040039,-0.099121,75820.000000,-5.544662,2.830505,1.670837,75820.000000,8.327103,16.311966,-27.074036,2.395341,3.336268,75.927025,0.039369,0.000251,-0.000089,-0.996615,0.000145,0.000023,-0.072173,-0.001886,-0.000336,-1.438818,0.025611,0.386516,4.011045,0.581578,0.697490,-1.291827,-0.399423,-0.724894,0.255954,-0.004098,-0.000100,0.500878,-0.000760,0.000022,-0.826806,-0.001742,0.000006,2.395341,0.041794,0.999126,-0.019426,0.005580,3.336268,0.058196,0.998305,0.071890,0.000746,75.927025,0.969987,0.243158,-0.000641,0.015472
75830.000000,75830.000000,0.039551,-1.036621,-0.092285,75830.000000,-4.873276,2.769470,0.999451,75830.000000,9.227112,15.261978,-28.424026,2.383072,3.402516,75.929588,0.039528,0.000158,-0.000093,-0.996457,0.000158,0.000013,-0.074238,-0.002066,-0.000180,-0.767737,0.671081,0.645470,3.535510,-0.475535,-1.057112,-1.827556,-0.535730,-0.136306,0.253291,-0.002663,0.001435,0.499402,-0.001475,-0.000715,-0.828517,-0.001711,0.000031,2.383072,0.041580,0.999135,-0.012269,0.007157,3.402516,0.059350,0.998237,0.066249,-0.005641,75.929588,0.969998,0.243114,0.002563,0.003204
75840.000000,75840.000000,0.041504,-1.041504,-0.086426,75840.000000,-5.056381,2.708435,0.267029,75840.000000,9.827103,16.911972,-29.324036,2.378352,3.471572,75.932327,0.039631,0.000103,-0.000055,-0.996299,0.000158,-0.000000,-0.076270,-0.002032,0.000034,-0.968172,-0.200435,-0.871516,3.087048,-0.448462,0.027072,-2.369213,-0.541656,-0.005927,0.253040,-0.000252,0.002412,0.496252,-0.003150,-0.001675,-0.830485,-0.001967,-0.000257,2.378352,0.041498,0.999139,-0.004720,0.007549,3.471572,0.060553,0.998165,0.069056,0.002807,75.932327,0.970009,0.243068,0.002739,0.000175
75850.000000,75850.000000,0.043457,-1.049316,-0.090820,75850.000000,-4.690170,3.501892,-0.156403,75850.000000,9.827103,15.561966,-27.374023,2.377975,3.537764,75.940353,0.039711,0.000080,-0.000024,-0.996154,0.000145,-0.000013,-0.078101,-0.001831,0.000201,-0.622462,0.345710,0.546145,3.482409,0.395361,0.843824,-2.560300,-0.191087,0.350569,0.255320,0.002280,0.002532,0.492238,-0.004014,-0.000864,-0.832174,-0.001689,0.000278,2.377975,0.041492,0.999139,-0.000377,0.004342,3.537764,0.061706,0.998094,0.066192,-0.002864,75.940353,0.970043,0.242932,0.008026,0.005287
75860.000000,75860.000000,0.030762,-1.062011,-0.078613,75860.000000,-4.690170,3.562927,0.267029,75860.000000,7.427109,15.561966,-27.374023,2.373459,3.604393,75.945160,0.039710,-0.000001,-0.000081,-0.996033,0.000121,-0.000024,-0.079633,-0.001532,0.000299,-0.654090,-0.031628,-0.377338,3.130403,-0.352006,-0.747368,-1.915404,0.644896,0.835983,0.258476,0.003156,0.000875,0.488396,-0.003842,0.000172,-0.833463,-0.001289,0.000401,2.373459,0.041413,0.999142,-0.004515,-0.004138,3.604393,0.062867,0.998022,0.066630,0.000438,75.945160,0.970064,0.242850,0.004807,-0.003220
75870.000000,75870.000000,0.028809,-1.053222,-0.080566,75870.000000,-3.774643,3.501892,0.022888,75870.000000,9.077103,14.661972,-27.224030,2.371134,3.661990,75.946968,0.039451,-0.000258,-0.000257,-0.995954,0.000079,-0.000042,-0.080739,-0.001106,0.000426,0.195184,0.849274,0.880902,2.679731,-0.450672,-0.098665,-1.956664,-0.041260,-0.686155,0.260617,0.002142,-0.001014,0.484682,-0.003714,0.000128,-0.834962,-0.001500,-0.000211,2.371134,0.041372,0.999144,-0.002326,0.002190,3.661990,0.063870,0.997958,0.057596,-0.009033,75.946968,0.970071,0.242820,0.001808,-0.002998
